AuthorID,Author,Date,Content,Attachments,Reactions
"739156593966317668","dankskillz","2021-04-08T18:14:20.5810000-04:00","Columbia '25 :froggiedance: Mech E","","pboy (48),🇨 (33),🇴 (32),🇱 (32),🇺 (31),🇲 (30),🇧 (32),🇮 (31),🇦 (31),😤 (24),🥳 (27),prismic_groove (21),alphap (28),⭕ (27),alphag (26)"
"387809330013143041","_notsquishy","2021-04-09T14:54:12.2640000-04:00","UChicago '25 :froggiedance:","","peepocelebrate (39),🥳 (37),🇨 (27),🇭 (28),🇮 (25),alphau (27),alphac (25),alphah (27),alphai (27),alphag (25),alphaa (27),alphan (23),🇬 (24),alphao (23),nice (14),prismic_groove (7)"
"293927726660845569","fotorvoltaic","2021-04-09T17:32:23.8890000-04:00","UIUC '25 Electrical Engineering","","🥳 (41),partyblob (25),🇺 (29),alphai (28),alphau (22),🇨 (25),peepocelebrate (3),naeleft (3),naeright (3),roohappy (3),prismic_groove (3),snoocool (4),duckheart (4),dab (3),pikaoh (3),stonks (3),typing (3),witchfroggie (3),🌽 (2)"
"716818216336228402","icedkarim","2021-04-09T19:46:51.6400000-04:00","Brown '25!!! :heartlove:","","🥳 (53),tada_animated (31),carlvibe (24),bongoheart (27),Brown (25),yuh (21),alphab (22),alphar (20),alphao (19),alphaw (21),alphan (20),🐻 (17),duckheart (5),naeleft (5),naeright (5),snoocool (6),prismic_groove (5)"
"228659028778156034","lunalii","2021-04-10T19:04:30.5490000-04:00","wellesley '25 :pinkhearts:","","🥳 (55),peepocelebrate (24),meowhearts (22),👏 (21),alphal (20),alphau (20),alphan (21),alphaa (20),stonks (5),pikaoh (5),prismic_groove (5),snoocool (5),naeleft (5),naeright (5),peepoyes (5),duckheart (5),blobheart (6),dab (5),alphaw (4)"
"321002484791377921","sea7694","2021-04-11T10:37:05.3900000-04:00","cwru ‘25!! 💙","","🥳 (47),peepocelebrate (26),❤️ (25),alphac (27),alphaw (25),alphar (25),alphau (25),peepolove (5),roohappy (5),blobheart (6),duckheart (5),snoocool (5),prayingemoji (5),prayingreversed (5),peepoyes (5),pleadinghearts (5),pikaoh (6),prismic_groove (5)"
"306864006801653761","playful_pony_48386","2021-04-11T15:37:42.7420000-04:00","UMICH '25 ON A FULL SCHOLARSHIP :pboy:","","💖 (44),🥳 (37),peepocelebrate (27),alphau (27),alpham (27),alphai (26),alphac (26),alphah (25),🤤 (23),alphas (23),alphaa (21),alphae (21),💸 (16),prismic_groove (7),naeleft (6),naeright (6)"
"372843581691658240","saintlyfilly47","2021-04-11T16:07:37.5550000-04:00","PSU '25 for computer engineering 😎  😤 :fboy:","","🥳 (40),fboy (24),🤩 (24),alphap (22),alphas (22),alphau (21),💙 (19),naeleft (19),naeright (20),prismic_groove (21),typing (5),stonks (5),snoocool (5),peepocelebrate (5),roohappy (5),blobheart (6),witchfroggie (5),upvoteultramegasupreme (5)"
"798703530772398121","feelalive9492","2021-04-11T21:17:45.4060000-04:00","cal '25 for business admin!!!!!!! 💙 💛 🐻 🧸","","🥳 (39),prismic_groove (21),peepocelebrate (17),naeright (16),naenaegif (16),naeleft (16),Cal (20),blobconga (17),peepoparty (15),blobrainbow (14),🐻 (16),🇨 (15),🅰️ (14),🇱 (13),pikaoh (4),snoocool (4),duckheart (4),👍 (3)"
"339019306006216706","spapa6275","2021-04-11T23:11:19.2600000-04:00","umich '25 for comp sci!!:peepocelebrate:","","peepocelebrate (43),🥳 (29),prismic_groove (22),4784_crumbdance (18),carlvibe (18),carlypartyslide (18),carlpartysliderev (17),zrmmcheer (18),blobconga (18),🇲 (19),🇮 (15),zzmilkup (17),blobheart (6),naeleft (6),naeright (6),snoocool (6),duckheart (6)"
"557710782406721578","aryn.lee","2021-04-12T10:33:02.1910000-04:00","Vassar College '25! So excited 😀","","yuh (40),richardmoment (22),prayingreversed (22),yougotthis (21),prayingemoji (20),fheart (20),frogcool (21),blobhug (18),alphav (21),🥳 (23),prismic_groove (5),naeleft (5),naeright (5),stonks (5),peepocelebrate (5),blobheart (5),upvoteultramegasupreme (5),witchfroggie (5)"
"626645934629060609","gatby.","2021-04-12T13:22:16.2870000-04:00","PSU '25 for Mechanical Engineering! :peepocelebrate:","","🥳 (37),prismic_groove (20),blobconga (20),alphap (21),alphas (22),alphau (21),🇪 (19),🇳 (19),🇬 (18),🇮 (18),alphan (19),alphae (19),Pensive_acorn (19),alphar (18),peepocelebrate (6),naeleft (6),naeright (6)"
