name,university
user392,YaleUniversity
user393,YaleUniversity
user394,GrinnellCollege
user395,BostonCollege
user396,DartmouthCollege
user397,NortheasternUniversity
user398,UniversityofPennsylvania
user399,WashingtonUniversityinStLouis
user400,ColumbiaUniversity
user401,OberlinCollege
user402,YaleUniversity
user403,EmoryUniversity
user404,NewYorkUniversity
user405,StanfordUniversity
user406,DartmouthCollege
user407,CornellUniversity
user408,PrincetonUniversity
user409,BrandeisUniversity
user410,DartmouthCollege
user411,JohnsHopkinsUniversity
user412,DartmouthCollege
user413,UniversityofPennsylvania
user414,DartmouthCollege
user415,NorthwesternUniversity
user416,DukeUniversity
user417,NorthwesternUniversity
user418,CornellUniversity
user419,UniversityofAlabama
user420,ColumbiaUniversity
user421,WilliamsCollege
user422,ColumbiaUniversity
user423,GeorgeWashingtonUniversity
user424,DukeUniversity
user425,BowdoinCollege
user426,BrownUniversity
user427,WestVirginiaUniversity
user428,HarvardUniversity
user429,UniversityofTexasatDallas
user430,BarnardCollege
user431,NewYorkUniversityAbuDhabi
user432,UniversityofPennsylvania
user433,BarnardCollege
user434,UniversityofChicago
user435,UniversityofChicago
user436,GeorgeWashingtonUniversity
user437,VanderbiltUniversity
user438,CornellUniversity
user439,NortheasternUniversity
user440,GeorgiaInstituteofTechnology
user441,GeorgiaInstituteofTechnology
user442,BowdoinCollege
user443,UniversityofCaliforniaSanDiego
user444,RutgersUniversityNewBrunswick
user445,StanfordUniversity
user446,StanfordUniversity
user447,UniversityofMarylandCollegePark
user448,UniversityofMassachusettsAmherst
user449,WashingtonUniversityinStLouis
user450,NortheasternUniversity
user451,NortheasternUniversity
user452,BrandeisUniversity
user453,GeorgiaInstituteofTechnology
user454,UniversityofPennsylvania
user455,UniversityofTexasatAustin
user456,FordhamUniversity
user457,WesternMichiganUniversity
user458,ColgateUniversity
user459,MichiganStateUniversity
user460,GeorgiaInstituteofTechnology
user461,YaleUniversity
user462,WellesleyCollege
user463,WellesleyCollege
user464,UniversityofChicago
user465,VanderbiltUniversity
user466,NewYorkUniversityShanghai
user467,ColumbiaCollegeChicago
user468,UniversityofAlabama
user469,CornellUniversity
user470,MichiganStateUniversity
user471,WellesleyCollege
user472,UniversityofCaliforniaBerkeley
user473,UniversityofChicago
user474,PurdueUniversity
user475,RutgersUniversityNewBrunswick
user476,FloridaStateUniversity
user477,TuftsUniversity
user478,CaseWesternReserveUniversity
user479,MassachusettsInstituteofTechnology
user480,UniversityofPittsburgh
user481,ColgateUniversity
user482,BowdoinCollege
user483,OregonStateUniversity
user484,UniversityofFlorida
user485,UniversityofAlabama
user486,NortheasternUniversity
user487,UniversityofCaliforniaDavis
user488,UniversityofCaliforniaSanDiego
