name,university
user733,Duke University
user734,Washington University in St Louis
user735,Princeton University
user736,Brandeis University
user737,Columbia University
user738,University of Chicago
user739,Amherst College
user740,Indiana University of Pennsylvania
user741,Northeastern University
user742,Northeastern University
user743,Hamilton College
user744,Duke University
user745,Cornell University
user746,Rice University
user747,University of Pennsylvania
user748,Duke University
user749,Tulane University
user750,Cornell University
user751,Duke University
user752,Vassar College
user753,Pomona College
user754,Cornell University
user755,Columbia University
user756,Johns Hopkins University
user757,Yale University
user758,Tufts University
user759,Vanderbilt University
user760,Harvard College
user761,University of Pennsylvania
user762,Northwestern University
user763,Cornell University
user764,Columbia University
user765,University of Chicago
user766,Brown University
user767,Stanford University
user768,University of Pennsylvania
user769,Princeton University
user770,Chabot Community College
user771,Princeton University
user772,Stanford University
user773,Rowan University
user774,Brown University
user775,New York University
user776,Florida State University
user777,New York University
user778,Boston University
user779,Rochester Institute of Technology
user780,University of Southern California
user781,Harvard College
user782,Northwestern University
user783,Ohio State University
user784,Georgia Institute of Technology
user785,University of Illinois Urbana Champaign
user786,University of Pennsylvania
user787,University of California Berkeley
user788,Barnard College
user789,Northwestern University
user790,Lehigh University
user791,Vanderbilt University
user792,University of Richmond
user793,University of Chicago
user794,Lafayette College
user795,Rochester Institute of Technology
user796,Cornell University
user797,Local Community College
user798,University of Florida
user799,Boston University
user800,Long Island University Post
user801,North Carolina State University
user802,Emory University
user803,University of Central Florida
user804,University College Dublin
user805,Washington University in St Louis
user806,Carleton College
user807,Northeastern University
user808,University of South Florida
user809,Yale University
user810,Cornell University
user811,Texas A&M University
user812,Mount Saint Marys University
user813,Massachusetts Institute of Technology
user814,Temple University
user815,Emory University
user816,University of California Riverside
user817,Williams College
user818,Massachusetts Institute of Technology
user819,University of California Berkeley
user820,Temple University
user821,University of Texas at Austin
user822,University of Texas at Austin
user823,University of Texas at Austin
user824,University of California Berkeley
user825,University of California San Diego
user826,University of Washington
user827,Northwestern University
user828,Cornell University
user829,Colby College
user830,Virginia Tech
user831,Grinnell College
user832,New York University
user833,Duke University
user834,Stony Brook University
user835,Florida State University
user836,Yale University
user837,University of Illinois Urbana Champaign
user838,Northeastern University
user839,Brown University
user840,Brown University
user841,University of North Carolina Chapel Hill
user842,University of California Los Angeles
user843,Georgia Institute of Technology
user844,University of Michigan
user845,Case Western Reserve University
user846,Purdue University
user847,Georgia Institute of Technology
user848,Cornell University
user849,Boston University
user850,Colby College
user851,University of California Berkeley
user852,University of California Irvine
user853,University of California Davis
user854,Brown University
user855,North Carolina State University
user856,Purdue University
user857,Duke University
user858,University of California Berkeley
user859,University of Michigan
user860,Princeton University
user861,University of California Berkeley
user862,University of Texas at Austin
user863,University of Connecticut
user864,University of Southern California
user865,Purdue University
user866,University of Michigan
